profile,variant,change,vulnerability_id,severity,ecosystem,target,package,installed_version,fixed_version
ci,clamav-on,added,CVE-2026-20347,HIGH,wolfi,/,clamav-1.5-daemon,1.5.2-r7,1.5.4-r0
ci,clamav-on,added,CVE-2026-20348,HIGH,wolfi,/,clamav-1.5-daemon,1.5.2-r7,1.5.4-r0
ci,clamav-on,added,CVE-2026-20337,HIGH,wolfi,/,clamav-1.5-db,1.5.2-r7,1.5.4-r0
ci,clamav-on,added,CVE-2026-20338,HIGH,wolfi,/,clamav-1.5-db,1.5.2-r7,1.5.4-r0
ci,clamav-on,added,CVE-2026-20339,HIGH,wolfi,/,clamav-1.5-db,1.5.2-r7,1.5.4-r0
ci,clamav-on,added,CVE-2026-20345,HIGH,wolfi,/,clamav-1.5-db,1.5.2-r7,1.5.4-r0
ci,clamav-on,added,CVE-2026-20346,HIGH,wolfi,/,clamav-1.5-db,1.5.2-r7,1.5.4-r0
ci,clamav-on,added,CVE-2026-20347,HIGH,wolfi,/,clamav-1.5-db,1.5.2-r7,1.5.4-r0
ci,clamav-on,added,CVE-2026-20348,HIGH,wolfi,/,clamav-1.5-db,1.5.2-r7,1.5.4-r0
ci,clamav-on,added,CVE-2026-20337,HIGH,wolfi,/,clamav-1.5-freshclam,1.5.2-r7,1.5.4-r0
ci,clamav-on,added,CVE-2026-20338,HIGH,wolfi,/,clamav-1.5-freshclam,1.5.2-r7,1.5.4-r0
ci,clamav-on,added,CVE-2026-20339,HIGH,wolfi,/,clamav-1.5-freshclam,1.5.2-r7,1.5.4-r0
ci,clamav-on,added,CVE-2026-20345,HIGH,wolfi,/,clamav-1.5-freshclam,1.5.2-r7,1.5.4-r0
ci,clamav-on,added,CVE-2026-20346,HIGH,wolfi,/,clamav-1.5-freshclam,1.5.2-r7,1.5.4-r0
ci,clamav-on,added,CVE-2026-20347,HIGH,wolfi,/,clamav-1.5-freshclam,1.5.2-r7,1.5.4-r0
ci,clamav-on,added,CVE-2026-20348,HIGH,wolfi,/,clamav-1.5-freshclam,1.5.2-r7,1.5.4-r0
ci,clamav-on,added,CVE-2026-20337,HIGH,wolfi,/,clamav-1.5-libunrar,1.5.2-r7,1.5.4-r0
ci,clamav-on,added,CVE-2026-20338,HIGH,wolfi,/,clamav-1.5-libunrar,1.5.2-r7,1.5.4-r0
ci,clamav-on,added,CVE-2026-20339,HIGH,wolfi,/,clamav-1.5-libunrar,1.5.2-r7,1.5.4-r0
ci,clamav-on,added,CVE-2026-20345,HIGH,wolfi,/,clamav-1.5-libunrar,1.5.2-r7,1.5.4-r0
ci,clamav-on,added,CVE-2026-20346,HIGH,wolfi,/,clamav-1.5-libunrar,1.5.2-r7,1.5.4-r0
ci,clamav-on,added,CVE-2026-20347,HIGH,wolfi,/,clamav-1.5-libunrar,1.5.2-r7,1.5.4-r0
ci,clamav-on,added,CVE-2026-20348,HIGH,wolfi,/,clamav-1.5-libunrar,1.5.2-r7,1.5.4-r0
ci,clamav-on,added,CVE-2026-20337,HIGH,wolfi,/,clamav-1.5-milter,1.5.2-r7,1.5.4-r0
ci,clamav-on,added,CVE-2026-20338,HIGH,wolfi,/,clamav-1.5-milter,1.5.2-r7,1.5.4-r0
ci,clamav-on,added,CVE-2026-20339,HIGH,wolfi,/,clamav-1.5-milter,1.5.2-r7,1.5.4-r0
ci,clamav-on,added,CVE-2026-20345,HIGH,wolfi,/,clamav-1.5-milter,1.5.2-r7,1.5.4-r0
ci,clamav-on,added,CVE-2026-20346,HIGH,wolfi,/,clamav-1.5-milter,1.5.2-r7,1.5.4-r0
ci,clamav-on,added,CVE-2026-20347,HIGH,wolfi,/,clamav-1.5-milter,1.5.2-r7,1.5.4-r0
ci,clamav-on,added,CVE-2026-20348,HIGH,wolfi,/,clamav-1.5-milter,1.5.2-r7,1.5.4-r0
ci,clamav-on,added,CVE-2026-20337,HIGH,wolfi,/,clamav-1.5-scanner,1.5.2-r7,1.5.4-r0
